eqp_id;od_id;cycle_min;mov_id
CW-120;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;82;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;97;Producao Final Minerio
CW-120;23 FGS - 11 GRADE;52;Producao Final Minerio
CW-120;23 FGS - 11 GRADE;108;Producao Final Minerio
CW-120;23 FGS - 11 GRADE;97;Producao Final Minerio
CW-120;23 FGS - 11 GRADE;104;Producao Final Minerio
CW-120;23 FGS - 11 GRADE;102;Producao Final Minerio
CW-121;11 SER - 11 GRADE;34;Producao Final Minerio
CW-121;11 SER - 11 GRADE;23;Producao Final Minerio
CW-121;11 SER - 11 GRADE;23;Producao Final Minerio
CW-121;11 SER - 11 GRADE;21;Producao Final Minerio
CW-121;11 SER - 11 GRADE;17;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;1;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;0;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;0;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;0;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;0;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;0;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;1;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;0;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;0;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;16;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;10;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;13;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;13;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;18;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;7;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;11;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;13;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;13;Producao Final Minerio
CW-121;12 LIG - 11 GRADE;12;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;44;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;49;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;67;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;49;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;57;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;47;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;61;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;55;Producao Final Minerio
CW-121;16 BAL - 11 GRADE;72;Producao Final Minerio
CW-122;11 SER - 11 GRADE;31;Producao Final Minerio
CW-122;11 SER - 11 GRADE;28;Producao Final Minerio
CW-122;11 SER - 11 GRADE;23;Producao Final Minerio
CW-122;11 SER - 11 GRADE;23;Producao Final Minerio
CW-122;11 SER - 11 GRADE;23;Producao Final Minerio
CW-122;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;70;Producao Final Minerio
CW-122;16 BAL - 11 GRADE;51;Producao Final Minerio
