eqp_id,od_id,cycle_min,cap_ton,T_ef_min,n_trips,ton_estimado,_tpm,used_min
CW-109,22 SER - 11 GRADE,95.0,38.0,361.667984710979,3,114.0,0.4,285.0
CW-115,22 SER - 11 GRADE,87.61904761904762,24.0,450.73574818181095,5,120.0,0.27391304347826084,438.0952380952381
