iter,T,accepted,kind,eqp_id,from,to,cand_obj,best_obj
112,0.07762471166286904,True,unassign,K2,A,,0.95,0.95
113,0.07585775750291825,False,unassign,K1,A,,0.76,0.95
113,0.07585775750291825,False,assign,K2,,A,0.76,0.95
114,0.07413102413009162,True,noop,,,,,
115,0.07244359600749888,True,noop,,,,,
116,0.07079457843841366,False,unassign,K1,A,,0.76,0.95
116,0.07079457843841366,False,assign,K2,,A,0.76,0.95
117,0.06918309709189352,False,assign,K2,,A,0.858,0.95
118,0.06760829753919805,False,assign,K2,,A,0.858,0.95
119,0.06606934480075947,True,noop,,,,,
120,0.06456542290346542,False,assign,K2,,A,0.858,0.95
121,0.0630957344480192,False,assign,K2,,A,0.858,0.95
122,0.061659500186148096,True,noop,,,,,
123,0.060255958607435656,True,noop,,,,,
124,0.05888436553555878,True,noop,,,,,
125,0.057543993733715576,False,unassign,K1,A,,0.76,0.95
125,0.057543993733715576,False,assign,K2,,A,0.76,0.95
126,0.056234132519034793,False,assign,K2,,A,0.858,0.95
127,0.054954087385762344,True,noop,,,,,
128,0.053703179637025165,True,noop,,,,,
129,0.052480746024977154,False,assign,K2,,A,0.858,0.95
130,0.05128613839913638,True,noop,,,,,
131,0.05011872336272712,True,noop,,,,,
132,0.04897788193684451,True,noop,,,,,
133,0.04786300923226373,True,noop,,,,,
134,0.04677351412871971,True,noop,,,,,
135,0.045708818961487395,False,unassign,K1,A,,0.76,0.95
135,0.045708818961487395,False,assign,K2,,A,0.76,0.95
136,0.0446683592150962,True,noop,,,,,
137,0.04365158322401649,False,assign,K2,,A,0.858,0.95
138,0.04265795188015916,False,unassign,K1,A,,0.76,0.95
138,0.04265795188015916,False,assign,K2,,A,0.76,0.95
139,0.041686938347033436,True,noop,,,,,
140,0.04073802778041117,True,noop,,,,,
141,0.03981071705534962,False,unassign,K1,A,,0.76,0.95
141,0.03981071705534962,False,assign,K2,,A,0.76,0.95
142,0.03890451449942796,True,noop,,,,,
143,0.03801893963205602,True,noop,,,,,
144,0.03715352290971716,False,unassign,K1,A,,0.76,0.95
144,0.03715352290971716,False,assign,K2,,A,0.76,0.95
145,0.03630780547701004,False,unassign,K1,A,,0.76,0.95
145,0.03630780547701004,False,assign,K2,,A,0.76,0.95
146,0.035481338923357454,True,noop,,,,,
147,0.034673685045253075,True,noop,,,,,
148,0.033884415613920166,False,unassign,K1,A,,0.76,0.95
148,0.033884415613920166,False,assign,K2,,A,0.76,0.95
149,0.03311311214825902,True,noop,,,,,
150,0.032359365692962744,False,unassign,K1,A,,0.76,0.95
150,0.032359365692962744,False,assign,K2,,A,0.76,0.95
151,0.031622776601683715,False,unassign,K1,A,,0.76,0.95
151,0.031622776601683715,False,assign,K2,,A,0.76,0.95
152,0.030902954325135828,False,unassign,K1,A,,0.76,0.95
152,0.030902954325135828,False,assign,K2,,A,0.76,0.95
153,0.030199517204020088,True,noop,,,,,
154,0.029512092266663785,True,noop,,,,,
155,0.028840315031265988,False,assign,K2,,A,0.858,0.95
156,0.02818382931264447,False,assign,K2,,A,0.858,0.95
157,0.027542287033381598,False,assign,K2,,A,0.858,0.95
158,0.026915348039269094,True,noop,,,,,
159,0.026302679918953756,True,noop,,,,,
160,0.025703957827688577,True,noop,,,,,
161,0.025118864315095742,True,noop,,,,,
162,0.024547089156850246,False,unassign,K1,A,,0.76,0.95
162,0.024547089156850246,False,assign,K2,,A,0.76,0.95
163,0.02398832919019485,True,noop,,,,,
164,0.023442288153199167,True,noop,,,,,
165,0.02290867652767768,False,unassign,K1,A,,0.76,0.95
165,0.02290867652767768,False,assign,K2,,A,0.76,0.95
166,0.022387211385683344,False,assign,K2,,A,0.858,0.95
167,0.021877616239495475,False,unassign,K1,A,,0.76,0.95
167,0.021877616239495475,False,assign,K2,,A,0.76,0.95
168,0.02137962089502227,False,assign,K2,,A,0.858,0.95
169,0.020892961308540344,True,noop,,,,,
170,0.020417379446695243,False,unassign,K1,A,,0.76,0.95
170,0.020417379446695243,False,assign,K2,,A,0.76,0.95
171,0.019952623149688747,True,noop,,,,,
172,0.019498445997580403,True,noop,,,,,
173,0.01905460717963242,False,assign,K2,,A,0.858,0.95
174,0.018620871366628624,False,unassign,K1,A,,0.76,0.95
174,0.018620871366628624,False,assign,K2,,A,0.76,0.95
175,0.018197008586099784,True,noop,,,,,
176,0.017782794100389177,True,noop,,,,,
177,0.017378008287493706,False,assign,K2,,A,0.858,0.95
178,0.016982436524617395,False,unassign,K1,A,,0.76,0.95
178,0.016982436524617395,False,assign,K2,,A,0.76,0.95
179,0.016595869074375557,False,unassign,K1,A,,0.76,0.95
179,0.016595869074375557,False,assign,K2,,A,0.76,0.95
180,0.01621810097358925,True,noop,,,,,
181,0.015848931924611086,False,unassign,K1,A,,0.76,0.95
181,0.015848931924611086,False,assign,K2,,A,0.76,0.95
182,0.015488166189124766,False,unassign,K1,A,,0.76,0.95
182,0.015488166189124766,False,assign,K2,,A,0.76,0.95
183,0.015135612484362035,True,noop,,,,,
184,0.014791083881682028,False,unassign,K1,A,,0.76,0.95
184,0.014791083881682028,False,assign,K2,,A,0.76,0.95
185,0.014454397707459229,True,noop,,,,,
186,0.014125375446227498,False,unassign,K1,A,,0.76,0.95
